2026-04-29T09:31:05.473039+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 109.252.190.230:3208->222.124.22.44:22535, len 52
2026-04-29T09:31:05.723066+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 110.138.80.10:55389->222.124.22.44:22535, len 44
2026-04-29T09:31:05.883038+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 103.137.64.162:60967->222.124.22.44:22535, len 52
2026-04-29T09:31:05.883247+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 47.31.90.204:52889->222.124.22.44:22535, len 52
2026-04-29T09:31:06.283024+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 109.252.190.230:3208->222.124.22.44:22535, len 52
2026-04-29T09:31:06.603125+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 47.31.90.204:52889->222.124.22.44:22535, len 52
2026-04-29T09:31:06.723037+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 110.138.80.10:55389->222.124.22.44:22535, len 44
2026-04-29T09:31:07.093029+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 109.252.190.230:3208->222.124.22.44:22535, len 52
2026-04-29T09:31:07.253015+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 47.31.90.204:10634->222.124.22.44:22535, len 52
2026-04-29T09:31:07.253220+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 91.214.85.190:54708->222.124.22.44:1880, len 52
2026-04-29T09:31:07.733033+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 110.138.80.10:55389->222.124.22.44:22535, len 44
2026-04-29T09:31:07.883085+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 47.31.90.204:10634->222.124.22.44:22535, len 52
2026-04-29T09:31:07.883211+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 109.252.190.230:3208->222.124.22.44:22535, len 52
2026-04-29T09:31:07.883211+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 91.214.85.190:54708->222.124.22.44:1880, len 52
2026-04-29T09:31:08.523079+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 47.31.90.204:24074->222.124.22.44:22535, len 52
2026-04-29T09:31:08.723099+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 91.214.85.190:54708->222.124.22.44:1880, len 52
2026-04-29T09:31:09.323099+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 110.138.80.10:55389->222.124.22.44:22535, len 44
2026-04-29T09:31:10.323130+00:00 _gateway firewall,info [FW] input: in:ether1 - TELKOM out:(unknown 0), connection-state:new src-mac DC:EF:80:83:F6:48, proto TCP (SYN), 110.138.80.10:55389->222.124.22.44:22535, len 44
